Food_items,Calories,Proteins,Carbohydrates,Sugars,Fibre,Fats,VitaminD,Calcium,Iron,Sodium,Potassium
Asparagus Cooked,22,2.4,4.1,1.3,2.0,0.2,0,23.0,0.91,14,224.0
Avocados,160,2.0,8.5,0.7,6.7,15.0,0,12.0,0.55,7,485.0
Bananas,89,1.1,23.0,12.0,2.6,0.3,0,5.0,0.26,1,358.0
Bagels made in wheat,250,10.0,49.0,6.1,4.1,1.5,0,20.0,2.76,439,165.0
Berries,349,14.0,77.0,46.0,13.0,0.4,0,190.0,6.8,298,77.0
Brocolli,25,3.8,3.1,0.6,2.8,0.5,0,118.0,1.27,56,343.0
Brown Rice,362,7.5,76.0,0.0,3.4,2.7,0,33.0,1.8,4,268.0
Cauliflower,32,3.0,6.3,0.0,3.3,0.3,0,32.0,0.72,259,278.0
American cheese,331,20.0,8.3,0.0,0.0,24.0,0,497.0,0.84,966,363.0
Coffee,2,0.3,0.2,0.0,0.0,0.0,0,2.0,0.02,1,50.0
Corn,97,3.3,22.0,7.7,2.7,1.4,0,2.0,0.55,253,3.3
Dark chocolates,556,5.5,60.0,48.0,6.5,32.0,0,30.0,2.13,6,502.0
Grapes,93,5.6,17.0,6.3,11.0,2.1,0,363.0,2.63,9,272.0
Milk,97,3.8,5.2,0.0,0.0,6.9,0,169.0,0.12,52,178.0
Cashew Nuts,553,18.0,30.0,5.9,3.3,44.0,0,37.0,6.68,12,660.0
Onions,40,1.1,9.3,4.2,1.7,0.1,0,23.0,0.21,4,146.0
Orange,97,1.5,25.0,0.0,11.0,0.2,0,161.0,0.8,3,212.0
Pasta canned with tomato sauce,71,2.2,14.0,4.0,0.9,0.7,0,13.0,0.91,381,192.0
Pears,57,0.4,15.0,9.8,3.1,0.1,0,9.0,0.18,1,116.0
Peas,81,5.4,14.0,5.7,5.7,0.4,0,25.0,1.47,5,244.0
Protein Powder,411,46.0,19.0,5.7,7.1,17.0,200,500.0,8.57,329,1129.0
Pumpkin,18,0.7,4.3,2.1,1.1,0.1,0,15.0,0.57,237,230.0
Tuna Salad,187,16.0,9.4,0.0,0.0,9.3,0,17.0,1.0,402,178.0
Tuna Fish,184,30.0,0.0,0.0,0.0,6.3,0,10.0,1.31,50,323.0
Peproni Pizza,298,12.0,30.0,3.2,1.8,14.0,0,146.0,2.14,692,199.0
Cheese Pizza,276,11.0,33.0,2.5,2.1,11.0,0,192.0,2.47,580,170.0
French Fries,289,3.5,37.0,0.3,3.9,14.0,0,17.0,0.91,357,545.0
Chicken Burger,292,18.0,20.0,0.0,1.3,15.0,0,13.0,0.62,859,315.0
Cheese Burger,256,13.0,25.0,0.0,1.4,12.0,0,92.0,2.78,660,178.0
Chicken Sandwich,257,15.0,23.0,5.0,1.2,12.0,0,92.0,1.32,605,256.0
Sugar Doughnuts,426,5.2,51.0,32.0,1.5,23.0,0,60.0,1.06,402,102.0
Chocolate Doughnuts,452,4.9,51.0,27.0,1.9,25.0,0,24.0,4.0,326,201.0
Pop Corn - Caramel,381,2.0,90.0,65.0,2.5,1.4,0,18.0,0.8,286,110.0
Pop Corn,429,13.0,73.0,0.5,14.0,9.5,0,11.0,2.28,490,241.0
Dosa,168,4.5,29.0,0.1,0.9,3.7,0,0.7,8.0,94,76.0
Idli,156,5.0,30.2,0.74,2.1,1.7,0,4.0,17.2,207,63.0
Poha,130,2.6,26.9,0.5,1.1,1.5,0,1.0,3.16,201,117.0
Chappati,297,11.0,46.0,2.7,4.9,7.5,0,93.0,3.01,409,266.0
Tomato,16,1.2,3.2,2.63,0.9,0.2,0,5.0,0.47,42,212.0
Yogurt,60,3.1,7.0,7.0,0.0,4.0,1,183.0,0.08,70,234.0
Brownie,407,4.4,84.0,55.0,2.9,6.2,0,17.0,3.81,457,51.0
Noodles,108,1.8,24.0,0.0,1.0,0.2,0,4.0,0.14,19,4.0
Uttapam,188,4.4,26.4,0.24,2.2,7.2,0,6.4,24.0,522,91.0
Bhaji Pav,151,9.0,29.3,1.35,1.0,2.4,0,3.4,37.4,438,180.0
Dal Makhani,109,2.1,6.3,3.29,1.5,8.5,0,8.3,35.2,243,366.0
Almonds,579,21.0,22.0,4.4,13.0,50.0,0,269.0,3.71,1,733.0
Mushrooms,22,3.1,3.3,2.0,1.0,0.3,7,3.0,0.5,5,318.0
Egg Yolk cooked,196,14.0,0.8,0.4,0.0,15.0,88,62.0,1.89,207,152.0
Sweet Potatoes cooked,76,1.4,18.0,5.7,2.5,0.1,0,27.0,0.72,27,230.0
Boiled Potatoes,87,1.9,20.0,0.9,2.0,0.1,0,5.0,0.31,240,379.0
White Rice,360,6.6,79.0,0.0,1.4,0.6,0,9.0,4.36,1,86.0
Orange juice,45,0.7,10.0,8.4,0.2,0.2,0,11.0,0.2,1,200.0
Greek yogurt plain,73,10.0,3.9,3.6,0.0,1.9,0,115.0,0.04,34,141.0
Oat Bran Cooked,40,3.2,11.0,0.0,2.6,0.9,0,10.0,0.88,1,92.0
Green Tea,1,0.2,0.0,0.0,0.0,0.0,0,0.0,0.02,1,0.2
Chia seeds,486,17.0,42.0,0.0,34.0,31.0,0,631.0,7.72,16,407.0
Cottage cheese with vegetables,95,11.0,3.0,0.4,0.1,4.2,0,56.0,0.1,403,86.0
Salmon,127,21.0,0.0,0.0,0.0,4.4,435,7.0,0.38,75,366.0
Cereals-Corn Flakes,384,5.9,88.0,7.8,2.7,0.9,286,2.0,19.4,571,107.0
Beans,31,1.8,7.0,3.3,2.7,0.2,0,37.0,1.03,6,211.0
Lentils,101,8.8,21.0,0.0,0.0,0.5,0,14.0,3.1,246,284.0
Pasta with corn homemade,126,2.6,28.0,0.0,4.8,0.7,0,1.0,0.25,0,31.0
Tea,1,0.0,0.2,0.0,0.0,0.0,0,2.0,0.08,1,9.0
Apples,52,0.3,14.0,10.0,24.0,0.2,0,6.0,0.12,1,107.0
Strawberries,32,0.7,7.7,4.9,2.0,0.3,0,16.0,0.41,1,153.0
Quninoa,120,4.4,21.0,0.9,2.8,1.9,0,17.0,1.49,7,172.0
Goat meat,109,21.0,57.0,0.0,0.0,2.3,0,13.0,2.83,82,385.0
Rabbit meat,114,22.0,0.0,0.0,0.0,2.3,0,12.0,3.2,50,378.0
Chicken Strips,295,19.0,22.0,0.3,1.1,15.0,0,11.0,0.72,798,334.0
Steak Fries,255,3.3,31.0,0.9,3.5,13.0,0,19.0,0.69,43,551.0
Mexican Rice,195,3.6,34.0,1.4,1.1,4.9,0,39.0,1.18,677,131.0
Fried Shrimp,319,14.0,21.0,0.8,1.5,20.0,0,47.0,1.54,1400,128.0
Spaghetti and meatballs,170,7.8,16.0,2.0,1.5,8.5,0,45.0,1.29,351,206.0
Macroni n Cheese ,194,6.5,16.0,2.8,1.1,12.0,0,145.0,57.0,375,127.0
Pork cooked,297,26.0,0.0,0.0,0.0,21.0,0,22.0,1.29,73,362.0
Bacon cooked,146,28.0,1.8,1.2,0.0,2.8,0,7.0,0.56,993,999.0
Nachos,350,4.3,35.0,2.2,3.2,22.0,0,63.0,0.75,313,362.0
Chicken Popcorn,351,18.0,21.0,0.0,1.0,22.0,0,32.0,1.42,1140,288.0
Turkey cooked,203,27.0,0.0,0.0,0.0,10.0,8,28.0,1.52,78,294.0
Oyster cooked,159,29.0,0.0,0.0,0.0,4.0,0,6.0,4.9,81,409.0
Beef sticks,550,22.0,5.4,0.0,0.0,50.0,0,68.0,3.4,1531,257.0
Banana Chips,519,2.3,58.0,35.0,7.7,34.0,0,18.0,1.25,6,536.0
Honey,304,0.3,82.0,82.0,0.2,0.0,0,6.0,0.42,4,52.0
Chocolate Icecream,216,3.8,28.0,25.0,1.2,11.0,0,109.0,0.93,76,249.0
Vanilla Ice cream,207,3.5,24.0,21.0,0.7,11.0,0,128.0,0.09,80,199.0
Strawberry Icecream,192,3.2,28.0,0.0,0.9,8.4,0,120.0,0.21,60,188.0
Marshmallows,318,1.8,81.0,58.0,0.1,0.2,0,3.0,0.23,80,5.0
Chocolate milk,535,7.7,59.0,52.0,3.4,30.0,0,189.0,2.35,79,372.0
Rice Pudding,376,2.7,91.0,0.0,0.7,0.1,0,14.0,1.79,366,5.0
